"name"	"x"	"y"	"z"	"von"	"bis"	"fixed"
"1"	"AlbLimes"	0.0879041440935246	0.447489584410489	1.63639856565575	97	260	"fixed"
"2"	"DonauLimesPhase1"	-0.427203004032785	-0.750767833772416	0.318921531414024	30	70	"fixed"
"3"	"DonauLimesPhase2"	-0.0837658065002302	0.0569773541042823	0.184451741777664	70	260	"fixed"
"4"	"Elisabethenstrasse"	-0.154465627312298	-0.197256810529758	-0.437791697643997	74	104	"fixed"
"5"	"HadriansWall"	0.582574760610703	1.35315146254147	1.54417143499003	9999	9999	"floating"
"6"	"Neckarlimes"	0.03512767443472	0.304278493940373	0.00744307037805569	117	260	"fixed"
"7"	"NoordzeeKust"	0.27302855374364	0.554920061171156	-0.0943744942193183	120	9999	"floating"
"8"	"Wetteraulimes"	0.562036087176691	1.00437796811005	-0.202654485432897	110	260	"fixed"
"9"	"Odenwaldlimes"	11.8565066213686	-5.63339949903706	0.315785580975976	110	260	"fixed"
"10"	"RätischeLimes"	0.0590459630725325	0.335630581464391	-0.421025677459083	110	260	"fixed"
